Číslo případu,Datum spáchání,Místo činu,Číslo zákona,Paragraf,Odstavec,Písmeno,Bod,Způsob vyřízení
0097,2023-12-22, křižovatka Českobratrská-Sokolská třída v Moravské Ostravě\, od Bazal směr Fifejdy ,361/2000,125f,1,,,pokuta
0119,2023-12-21, po ulici Třebovická ve směru jízdy k ulici Martinovská u budovy čp. 5116/110 ,361/2000,125f,1,,,pokuta
0072,2023-12-28, po ulici Třebovická ve směru jízdy k ulici Opavská u budovy čp. 5104/5 ,361/2000,125f,1,,,pokuta
0113,2023-12-22, po ulici Třebovická ve směru jízdy k ulici Opavská u budovy čp. 5104/5 ,361/2000,125f,1,,,pokuta
0054,2023-12-30, křižovatka Českobratrská-Sokolská třída v Moravské Ostravě\, od Bazal směr Fifejdy ,361/2000,125f,1,,,pokuta
0107,2023-12-25, po ulici Třebovická ve směru jízdy k ulici Opavská u budovy čp. 5104/5 ,361/2000,125f,1,,,pokuta
0098,2023-12-22, křižovatka Českobratrská-Sokolská třída v Moravské Ostravě\, od Bazal směr Fifejdy ,361/2000,125f,1,,,pokuta
0087,2023-12-19, křižovatka Českobratrská-Sokolská třída v Moravské Ostravě\, od Fifejd směr Bazaly a centrum ,361/2000,125f,1,,,pokuta
0047,2023-12-31, křižovatka Českobratrská-Sokolská třída v Moravské Ostravě\, od Bazal směr Fifejdy ,361/2000,125f,1,,,pokuta
0062,2023-12-29, po ulici Třebovická ve směru jízdy k ulici Martinovská u budovy čp. 5116/110 ,361/2000,125f,1,,,pokuta
0261,2023-09-18, v Ostravě po ul. Kořenského\, ve směru jízdy od ul. Pasteurova k ul. Rostislavova ,361/2000,125c,1,f),8,pokuta
0311,2024-01-03, mimo obec Ostrava na dálnici D1\, 366\,8 km\, ve směru jízdy na Brno ,361/2000,125c,1,f),3,pokuta
0155,2023-12-03,  ,361/2000,125f,1,,,pokuta
0133,2023-12-01,  ,361/2000,125f,1,,,pokuta
0158,2023-12-03,  ,361/2000,125f,1,,,pokuta
0138,2023-12-01,  ,361/2000,125f,1,,,pokuta
0131,2023-12-01,  ,361/2000,125f,1,,,pokuta
0146,2023-12-01,  ,361/2000,125f,1,,,pokuta
0149,2023-12-02, Křižovatka s ul Veleslavínova ,361/2000,125f,1,,,pokuta
0130,2023-12-01,  ,361/2000,125f,1,,,pokuta
0237,2023-12-19,  ,168/1999,16,1,,,pokuta
0242,2024-01-03,  ,168/1999,16,1,,,pokuta
0656,2023-11-07, v úseku D35\, 283 km\, ve směru na Ostravu ,56/2001,83a,2,d),,pokuta
0662,2023-12-09, v Paskově na ul. Rudá Armáda ,168/1999,16,1,,,pokuta
0834,2023-12-08, v Ostravě po ul. Horní ,361/2000,125c,1,k),,pokuta
0834,2023-12-08, v Ostravě po ul. Horní ,168/1999,16,2,,,pokuta
0835,2023-12-01, v Ostravě po ul. Těšínská u čerpací stanice Orlen ,361/2000,125c,1,f),8,pokuta
0836,2023-12-01, v Ostravě po ul. Těšínská u čerpací stanice Orlen ,361/2000,125c,1,k),,pokuta
0194,2023-12-01,  ,361/2000,125f,1,,,pokuta
0208,2023-12-04,  ,361/2000,125f,1,,,pokuta
0196,2023-12-03,  ,361/2000,125f,1,,,pokuta
0184,2023-11-27,  ,361/2000,125f,1,,,pokuta
0234,2023-12-05, BENU Lékárna ,361/2000,125f,1,,,pokuta
0204,2023-12-04, (naproti firmy SHIFT) ,361/2000,125f,1,,,pokuta
0197,2023-12-03,  ,361/2000,125f,1,,,pokuta
0241,2024-01-03,  ,361/2000,125f,1,,,pokuta
0213,2023-12-04, BARBER SHOP Champions ,361/2000,125f,1,,,pokuta
0207,2023-12-04,  ,361/2000,125f,1,,,pokuta
0229,2023-12-04,  ,361/2000,125f,1,,,pokuta
0217,2023-12-04,  ,361/2000,125f,1,,,pokuta
0205,2023-12-04,  ,361/2000,125f,1,,,pokuta
0211,2023-12-04,  ,361/2000,125f,1,,,pokuta
0199,2023-12-04, (dvorní část) ,361/2000,125f,1,,,pokuta
0200,2023-12-04, (Divadlo loutek) ,361/2000,125f,1,,,pokuta
0227,2023-12-04,  ,361/2000,125f,1,,,pokuta
0223,2023-12-04,  ,361/2000,125f,1,,,pokuta
0502,2023-12-05, (tramvajová zastávka MHD Antonína Poledníka ve směru Poruba) ,361/2000,125c,1,k),,pokuta
0509,2023-12-09, (okolí nástupiště tramvajové zastávky MHD Stodolní) ,361/2000,125c,1,k),,pokuta
0533,2023-12-20, (zadní část objektu\, vjezd z ul. Dr. Lukášové) ,361/2000,125c,1,k),,pokuta
0839,2023-12-29,  ,361/2000,125c,4,b),,pokuta
0840,2023-12-28,  ,361/2000,125c,4,b),,pokuta
0841,2023-11-29,  ,361/2000,125c,4,b),,pokuta
0842,2023-12-18,  ,361/2000,125c,4,b),,pokuta
0843,2022-03-09,  ,361/2000,125c,4,b),,pokuta
0857,2023-11-12, v Havířově na ul. Boženy Němcové ,168/1999,16,1,,,pokuta
0482,2023-11-24,  ,361/2000,125f,1,,,pokuta
0458,2023-11-24,  ,361/2000,125f,1,,,pokuta
0348,2023-11-21,  ,361/2000,125f,1,,,pokuta
0298,2023-11-21,  ,361/2000,125f,1,,,pokuta
0454,2023-11-24,  ,361/2000,125f,1,,,pokuta
0262,2023-11-17,  ,361/2000,125f,1,,,pokuta
0319,2023-11-21,  ,361/2000,125f,1,,,pokuta
0306,2023-11-21, (PČR) ,361/2000,125f,1,,,pokuta
0270,2023-11-19, (křižovatka s ul. Martinovská\, ve směru k DPO) ,361/2000,125f,1,,,pokuta
0460,2023-11-24,  ,361/2000,125f,1,,,pokuta
0436,2023-11-23, (u domu ul. Gregorova č. pop. 2434/10) ,361/2000,125f,1,,,pokuta
0300,2023-11-21,  ,361/2000,125f,1,,,pokuta
0528,2023-12-18, (placené parkoviště před katedrálou) ,361/2000,125f,1,,,pokuta
0450,2023-11-24,  ,361/2000,125f,1,,,pokuta
0402,2023-11-22, U garáží ,361/2000,125f,1,,,pokuta
0378,2023-11-22,  ,361/2000,125f,1,,,pokuta
0353,2023-11-21,  ,361/2000,125f,1,,,pokuta
0302,2023-11-21,  ,361/2000,125f,1,,,pokuta
0437,2023-11-23, (křižovatka s ul. Soukenická\, ve směru od zadní části domu ul. Poděbradova č. pop. 3055/61a) ,361/2000,125f,1,,,pokuta
0389,2023-11-22,  ,361/2000,125f,1,,,pokuta
0352,2023-11-21,  ,361/2000,125f,1,,,pokuta
0339,2023-11-21, (naproti domu) ,361/2000,125f,1,,,pokuta
0314,2023-11-21, (naproti domu\, před Dětským oddělením MNO) ,361/2000,125f,1,,,pokuta
0252,2023-11-10,  ,361/2000,125f,1,,,pokuta
0296,2023-11-21,  ,361/2000,125f,1,,,pokuta
0518,2023-12-14, (Směr -  Komenského sady) ,361/2000,125f,1,,,pokuta
0503,2023-12-07,  ,361/2000,125f,1,,,pokuta
0441,2023-11-23,  ,361/2000,125f,1,,,pokuta
0417,2023-11-23, (HZS) ,361/2000,125f,1,,,pokuta
0471,2023-11-24,  ,361/2000,125f,1,,,pokuta
0399,2023-11-22,  ,361/2000,125f,1,,,pokuta
0312,2023-11-21, (naproti vchodu) ,361/2000,125f,1,,,pokuta
0287,2023-11-20,  ,361/2000,125f,1,,,pokuta
0409,2023-11-23,  ,361/2000,125f,1,,,pokuta
0322,2023-11-21,  ,361/2000,125f,1,,,pokuta
0485,2023-11-24,  ,361/2000,125f,1,,,pokuta
0473,2023-11-24,  ,361/2000,125f,1,,,pokuta
0500,2023-12-02,  ,361/2000,125f,1,,,pokuta
0415,2023-11-23,  ,361/2000,125f,1,,,pokuta
0403,2023-11-22,  ,361/2000,125f,1,,,pokuta
0391,2023-11-22, (křižovatka s ul. Červeného kříže\, ve směru od ul. Nemocniční) ,361/2000,125f,1,,,pokuta
0328,2023-11-21,  ,361/2000,125f,1,,,pokuta
0279,2023-11-19, (naproti domu) ,361/2000,125f,1,,,pokuta
0396,2023-11-22,  ,361/2000,125f,1,,,pokuta
0363,2023-11-22,  ,361/2000,125f,1,,,pokuta
0440,2023-11-23,  ,361/2000,125f,1,,,pokuta
0416,2023-11-23,  ,361/2000,125f,1,,,pokuta
0380,2023-11-22,  ,361/2000,125f,1,,,pokuta
0317,2023-11-21,  ,361/2000,125f,1,,,pokuta
0465,2023-11-24, (parkoviště u kostela) ,361/2000,125f,1,,,pokuta
0343,2023-11-21,  ,361/2000,125f,1,,,pokuta
0281,2023-11-20,  ,361/2000,125f,1,,,pokuta
0506,2023-12-08, (ve směru od ul. Tyršova) ,361/2000,125f,1,,,pokuta
0479,2023-11-24,  ,361/2000,125f,1,,,pokuta
0455,2023-11-24,  ,361/2000,125f,1,,,pokuta
0332,2023-11-21, (dvorní část) ,361/2000,125f,1,,,pokuta
0383,2023-11-22,  ,361/2000,125f,1,,,pokuta
0316,2023-11-21,  ,361/2000,125f,1,,,pokuta
13829,2023-12-20,  ,361/2000,125f,1,,,pokuta
0825,2023-12-14, (za domem na parkovišti) ,168/1999,16,1,,,pokuta
0826,2023-12-15, (vjezd přes ul. Dr. Lukášové k zadní části objektu ul. Horní č. pop. 1492/55) ,361/2000,125c,1,k),,pokuta
0844,2023-12-20,  ,361/2000,125c,4,b),,pokuta
0847,2024-01-05,  ,361/2000,125c,4,b),,pokuta
0812,2023-12-01,  ,361/2000,125f,1,,,pokuta
0775,2023-11-30,  ,361/2000,125f,1,,,pokuta
0762,2023-11-30,  ,361/2000,125f,1,,,pokuta
0699,2023-11-27,  ,361/2000,125f,1,,,pokuta
0686,2023-11-27,  ,361/2000,125f,1,,,pokuta
0611,2023-11-25,  ,361/2000,125f,1,,,pokuta
0587,2023-11-24,  ,361/2000,125f,1,,,pokuta
0771,2023-11-29, (naproti domu) ,361/2000,125f,1,,,pokuta
0707,2023-11-28, (naproti domu) ,361/2000,125f,1,,,pokuta
0669,2023-11-27,  ,361/2000,125f,1,,,pokuta
0631,2023-11-26, (naproti domu) ,361/2000,125f,1,,,pokuta
0814,2023-12-03, (naproti domu) ,361/2000,125f,1,,,pokuta
0688,2023-11-27,  ,361/2000,125f,1,,,pokuta
0625,2023-11-25,  ,361/2000,125f,1,,,pokuta
0613,2023-11-25,  ,361/2000,125f,1,,,pokuta
0589,2023-11-24,  ,361/2000,125f,1,,,pokuta
0541,2023-11-16, (křižovatka s ul. Tyršova\, ve směru od ul. Bankovní) ,361/2000,125f,1,,,pokuta
0802,2023-11-30,  ,361/2000,125f,1,,,pokuta
0665,2023-11-27,  ,361/2000,125f,1,,,pokuta
0651,2023-11-26, (naproti domu\, křižovatka s ul. Jugoslávská\, směr od ul. Výškovická) ,361/2000,125f,1,,,pokuta
0627,2023-11-25, (křižovatka s ul. 1. československého armádního sboru) ,361/2000,125f,1,,,pokuta
0555,2023-11-23,  ,361/2000,125f,1,,,pokuta
0543,2023-11-19,  ,361/2000,125f,1,,,pokuta
